method	path	status	bytes
GET	/users/me/profile	401	67
GET	/users/me/insurance	401	67
GET	/users/me/privacy-settings	401	67
GET	/users/me/security-settings	401	67
GET	/users/me/sessions	401	67
GET	/health/score	401	67
GET	/health/reports	401	67
GET	/health/vitals?limit=100	401	67
GET	/health/sleep?limit=100	401	67
GET	/health/trends	401	67
GET	/health/emergency-contacts	401	67
GET	/health/chronic-diseases	401	67
GET	/health/chronic-meds	401	67
GET	/family/my-group	401	67
GET	/insurance/my-policy	401	67
GET	/insurance/benefits-summary	401	67
GET	/insurance/claims	401	67
GET	/chat/threads	401	67
GET	/notifications	401	67
GET	/notifications/mine	404	88
GET	/articles/bookmarks/mine	401	67
GET	/mental-health/dashboard	401	67
GET	/mental-health/crisis-contacts	401	67
GET	/mental-health/breathing	401	67
GET	/mental-health/mood?days=30	401	67
