product	path	category	tree_status	baseline_sha256	incoming_sha256	comparison_basis	semantic_interpretation
BACKEND	Dockerfile	CONFIG_INFRA	SAME_CONTENT	1a582935e1df82393f95333b1b215596edecbf72feef175acc2a15caf50f661c	1a582935e1df82393f95333b1b215596edecbf72feef175acc2a15caf50f661c	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	Dockerfile.production	CONFIG_INFRA	SAME_CONTENT	f33be31cd4a451c49c451fb789936175a1535b33afb96db77f279022e82bc928	f33be31cd4a451c49c451fb789936175a1535b33afb96db77f279022e82bc928	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	ENVIRONMENT.md	BACKEND	SAME_CONTENT	2e1c50eea22a43db07f89bd72bf69516e030c3d7a1fac7001c9a9903c6f004fe	2e1c50eea22a43db07f89bd72bf69516e030c3d7a1fac7001c9a9903c6f004fe	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	NABDAH_PROJECT_REFERENCE.md	BACKEND	BASELINE_ONLY	cfeda7126d562bbf26a35af5913e2507421939522445fd33d17b544a3665ada0		source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	NabdProvider-provider.zip	BACKEND	BASELINE_ONLY	73c363440c8f4d68ad1ba3f7e9e78cfdab87167a16be20c66deea46d64214a4c		source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/README.md	BACKEND	SAME_CONTENT	d60c10ae0bc8c70b3d6be46e5672c03a3f083eb47e7ea1022848d2cad791a922	d60c10ae0bc8c70b3d6be46e5672c03a3f083eb47e7ea1022848d2cad791a922	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/acig.webp	BACKEND	SAME_CONTENT	041c9cd3bae243374e8b9d4a63d52d9aefbe5124d72b32c39529a68e58c90906	041c9cd3bae243374e8b9d4a63d52d9aefbe5124d72b32c39529a68e58c90906	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/al_rajhi_takaful.webp	BACKEND	SAME_CONTENT	739a6e2376584db4d4f5f644eee21ce4f61782b6aece1c2a8577c9c501e185c8	739a6e2376584db4d4f5f644eee21ce4f61782b6aece1c2a8577c9c501e185c8	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/al_sagr.webp	BACKEND	SAME_CONTENT	a70cba1c1ad3fc7e28955834c2387d0fce324b64172fd60377779e7cf9372ebc	a70cba1c1ad3fc7e28955834c2387d0fce324b64172fd60377779e7cf9372ebc	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/aljazira_takaful.webp	BACKEND	SAME_CONTENT	393f8660a6580beb6ba33e2a9216b88f9e911fcfa76c8c7e8773c8b20b1ce41e	393f8660a6580beb6ba33e2a9216b88f9e911fcfa76c8c7e8773c8b20b1ce41e	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/amana.webp	BACKEND	SAME_CONTENT	2639d2482e0878561c891f59c0c664ef89374646e89f822c33f8a4a7847999dc	2639d2482e0878561c891f59c0c664ef89374646e89f822c33f8a4a7847999dc	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/arabia_insurance.webp	BACKEND	SAME_CONTENT	572a447f2b56808459d1b212fd04ab63fa25daf5af548a5863a5528107947c21	572a447f2b56808459d1b212fd04ab63fa25daf5af548a5863a5528107947c21	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/arabian_shield.webp	BACKEND	SAME_CONTENT	e280d158efb252b6f842f99c8658936bda4705d4921fbd1e256f801e0d374129	e280d158efb252b6f842f99c8658936bda4705d4921fbd1e256f801e0d374129	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
BACKEND	assets/insurance-logos/bupa.webp	BACKEND	SAME_CONTENT	43d4eedb6167d3754d1ec28dede3ea7e3e3f63e97efedc312eddb433b9e976c5	43d4eedb6167d3754d1ec28dede3ea7e3e3f63e97efedc312eddb433b9e976c5	source-directory-byte-hash-unrelated-snapshot	NOT_ASSESSED_BY_FILE_DELTA
